,Day,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Precipitation,month,year
93,10,91,79.4,70,57,51.2,41,64,40.4,17,38,12.0,2,27.9,27.8,27.7,0.00,4.0,2018.0
94,11,88,77.2,68,59,51.9,46,73,43.7,25,29,11.0,0,27.8,27.8,27.7,0.00,4.0,2018.0
95,12,90,80.9,68,50,40.5,21,52,27.1,9,29,10.8,2,27.8,27.7,27.7,0.00,4.0,2018.0
96,13,91,81.2,70,48,39.1,28,46,24.5,11,14,7.0,0,27.8,27.8,27.7,0.00,4.0,2018.0
97,14,90,79.3,66,39,33.4,30,37,20.5,12,12,6.2,2,27.9,27.8,27.8,0.00,4.0,2018.0
98,15,88,78.8,70,45,40.6,36,35,25.9,18,14,7.7,0,27.9,27.8,27.7,0.00,4.0,2018.0
99,16,93,81.8,70,57,35.7,27,57,21.3,10,20,8.6,3,27.8,27.7,27.7,0.00,4.0,2018.0
100,17,88,75.9,66,61,49.5,37,83,46.2,18,14,8.7,3,28.0,27.9,27.8,0.00,4.0,2018.0
101,18,88,76.9,64,43,33.3,21,45,22.9,12,12,5.3,0,28.1,28.0,27.9,0.00,4.0,2018.0
102,19,91,78.7,63,30,22.5,16,28,13.8,8,9,4.3,0,28.0,27.9,27.9,0.00,4.0,2018.0
103,20,91,82.7,70,37,26.0,18,19,12.9,9,18,7.3,0,27.9,27.8,27.7,0.00,4.0,2018.0
104,21,100,88.9,75,34,28.3,25,17,11.7,7,18,9.7,5,27.8,27.7,27.7,0.00,4.0,2018.0
105,22,93,82.8,72,66,45.4,28,83,30.6,14,15,6.2,0,27.8,27.7,27.7,0.00,4.0,2018.0
106,23,95,83.4,73,63,48.5,39,65,32.8,15,20,10.2,2,27.9,27.8,27.7,0.00,4.0,2018.0
107,24,86,76.3,70,41,37.6,32,35,25.5,14,13,7.4,0,28.0,27.9,27.8,0.00,4.0,2018.0
108,25,77,72.4,68,64,54.5,39,83,57.0,27,9,4.9,0,27.9,27.9,27.8,0.00,4.0,2018.0
109,26,93,76.9,63,61,56.4,45,94,56.0,19,35,11.7,0,27.8,27.8,27.6,0.00,4.0,2018.0
110,27,88,75.3,64,63,59.0,52,94,61.2,29,16,6.8,0,27.8,27.8,27.7,0.00,4.0,2018.0
111,28,93,81.1,66,63,50.9,36,78,40.4,14,15,7.2,0,27.8,27.8,27.7,0.00,4.0,2018.0
112,1,95,83.8,72,50,41.3,36,39,24.1,13,30,8.9,2,27.9,27.8,27.8,0.00,5.0,2018.0
113,2,95,83.2,75,52,42.6,36,41,25.6,12,22,11.9,3,27.9,27.9,27.8,0.00,5.0,2018.0
114,3,99,88.1,81,43,38.4,30,26,18.1,10,21,7.2,2,27.9,27.8,27.8,0.00,5.0,2018.0
115,4,93,84.8,77,52,43.7,39,39,24.2,15,30,8.5,0,27.9,27.8,27.8,0.00,5.0,2018.0
116,5,99,88.3,75,45,40.3,37,34,19.6,13,13,7.5,2,27.9,27.8,27.8,0.00,5.0,2018.0
117,6,104,90.9,79,41,37.5,34,24,16.2,9,10,5.5,2,27.9,27.8,27.8,0.00,5.0,2018.0
118,7,106,92.7,79,43,37.1,34,26,15.4,9,10,5.4,3,27.9,27.8,27.7,0.00,5.0,2018.0
119,8,108,95.8,81,46,33.4,27,30,12.2,7,18,8.6,2,27.8,27.7,27.6,0.00,5.0,2018.0
120,9,97,88.0,79,57,46.3,28,45,25.6,11,20,11.0,0,27.8,27.7,27.6,0.00,5.0,2018.0
121,10,95,84.9,72,55,35.5,25,44,19.9,9,16,8.2,2,27.9,27.8,27.7,0.00,5.0,2018.0
122,11,102,88.8,72,30,27.3,23,22,12.0,7,17,8.3,0,27.8,27.7,27.6,0.00,5.0,2018.0
123,12,104,97.5,88,28,25.6,23,10,7.9,6,20,13.7,6,27.7,27.6,27.5,0.00,5.0,2018.0
124,13,99,89.4,81,39,28.3,21,20,11.7,7,17,8.7,3,27.8,27.7,27.6,0.00,5.0,2018.0
125,14,97,85.7,73,39,33.3,25,23,15.7,12,16,8.5,2,27.8,27.7,27.7,0.00,5.0,2018.0
126,15,95,84.5,72,41,37.5,36,31,19.5,12,14,8.2,0,27.8,27.8,27.7,0.00,5.0,2018.0
127,16,93,84.8,75,41,37.3,34,29,19.2,12,14,8.0,0,27.8,27.8,27.8,0.00,5.0,2018.0
128,17,97,85.8,75,54,38.3,36,29,19.5,12,13,6.2,0,27.9,27.8,27.8,0.00,5.0,2018.0
129,18,93,85.6,75,45,40.0,37,29,20.3,15,37,5.4,0,27.9,27.8,27.8,0.00,5.0,2018.0
130,19,95,84.7,75,55,46.7,39,50,28.0,15,21,12.0,5,27.9,27.8,27.8,0.00,5.0,2018.0
131,20,100,88.7,73,54,42.5,27,50,22.8,12,10,5.1,0,27.9,27.8,27.8,0.00,5.0,2018.0
